year,month,net_employment,net_side_hustle,total_income,housing,utilities,groceries,transportation,insurance,clothing,healthcare,media,entertainment,family,total_expense,emergency_fund,retirement_account,residence_account,self_fund,total_saving,tithe,debt,net
2024,7,"2.000.000,00","571.140,00","2.571.140,00","2.000.000,00","590.921,00","500.249,00","125.313,00","737.908,00","320.846,00","590.742,00","397.755,00","161.242,00","138.004,00","5.562.980,00","0,00","0,00","0,00","0,00","0,00","257.114,00","0,00","-3.248.954,00"
2024,8,"2.000.000,00","840.203,00","2.840.203,00","2.000.000,00","221.096,00","531.985,00","756.382,00","330.982,00","779.180,00","961.965,00","729.646,00","605.376,00","791.346,00","7.707.958,00","0,00","0,00","0,00","0,00","0,00","284.020,30","0,00","-5.151.775,30"
2024,9,"2.000.000,00","229.010,00","2.229.010,00","2.000.000,00","162.030,00","284.703,00","244.487,00","289.490,00","317.365,00","883.936,00","753.825,00","324.812,00","305.807,00","5.566.455,00","0,00","0,00","0,00","0,00","0,00","222.901,00","0,00","-3.560.346,00"
2024,10,"2.000.000,00","698.134,00","2.698.134,00","2.000.000,00","805.386,00","125.869,00","676.065,00","429.169,00","917.772,00","953.249,00","750.436,00","106.437,00","615.405,00","7.379.788,00","0,00","0,00","0,00","0,00","0,00","269.813,40","0,00","-4.951.467,40"
2024,11,"2.000.000,00","771.172,00","2.771.172,00","2.000.000,00","773.689,00","939.905,00","662.240,00","910.105,00","966.685,00","926.942,00","630.243,00","360.043,00","477.345,00","8.647.197,00","0,00","0,00","0,00","0,00","0,00","277.117,20","0,00","-6.153.142,20"
2024,12,"2.000.000,00","311.713,00","2.311.713,00","2.000.000,00","994.447,00","262.500,00","473.391,00","525.388,00","248.786,00","915.030,00","467.786,00","931.312,00","874.854,00","7.693.494,00","0,00","0,00","0,00","0,00","0,00","231.171,30","0,00","-5.612.952,30"
2025,1,"2.000.000,00","917.701,00","2.917.701,00","2.000.000,00","124.895,00","214.788,00","860.102,00","929.604,00","861.011,00","896.018,00","575.360,00","223.662,00","239.328,00","6.924.768,00","0,00","0,00","0,00","0,00","0,00","291.770,10","0,00","-4.298.837,10"
2025,2,"2.000.000,00","868.026,00","2.868.026,00","2.000.000,00","622.406,00","936.788,00","902.100,00","174.594,00","200.050,00","885.917,00","103.865,00","952.255,00","590.582,00","7.368.557,00","0,00","0,00","0,00","0,00","0,00","286.802,60","0,00","-4.787.333,60"
2025,3,"2.000.000,00","466.974,00","2.466.974,00","2.000.000,00","137.723,00","819.797,00","396.776,00","462.416,00","619.218,00","206.389,00","869.156,00","438.673,00","707.374,00","6.657.522,00","0,00","0,00","0,00","0,00","0,00","246.697,40","0,00","-4.437.245,40"
2025,4,"2.000.000,00","698.263,00","2.698.263,00","2.000.000,00","279.530,00","787.102,00","129.060,00","467.216,00","353.360,00","632.611,00","403.964,00","927.462,00","954.491,00","6.934.796,00","0,00","0,00","0,00","0,00","0,00","269.826,30","0,00","-4.506.359,30"
2025,5,"2.000.000,00","989.107,00","2.989.107,00","2.000.000,00","569.145,00","536.823,00","217.125,00","754.671,00","500.963,00","936.956,00","579.605,00","270.186,00","605.895,00","6.971.369,00","0,00","0,00","0,00","0,00","0,00","298.910,70","0,00","-4.281.172,70"
2025,6,"2.000.000,00","135.611,00","2.135.611,00","2.000.000,00","685.520,00","443.020,00","610.338,00","612.742,00","140.372,00","159.821,00","628.240,00","227.037,00","170.966,00","5.678.056,00","0,00","0,00","0,00","0,00","0,00","213.561,10","0,00","-3.756.006,10"
2025,7,"2.000.000,00","372.832,00","2.372.832,00","2.000.000,00","364.212,00","247.812,00","627.110,00","754.011,00","734.215,00","754.616,00","875.125,00","473.792,00","828.267,00","7.659.160,00","0,00","0,00","0,00","0,00","0,00","237.283,20","0,00","-5.523.611,20"
2025,8,"2.000.000,00","969.062,00","2.969.062,00","2.000.000,00","385.060,00","195.718,00","350.256,00","525.273,00","418.230,00","952.515,00","873.987,00","122.827,00","128.261,00","5.952.127,00","0,00","0,00","0,00","0,00","0,00","296.906,20","0,00","-3.279.971,20"
2025,9,"2.000.000,00","187.840,00","2.187.840,00","2.000.000,00","724.496,00","303.092,00","327.486,00","694.244,00","717.720,00","145.402,00","217.664,00","439.676,00","428.820,00","5.998.600,00","0,00","0,00","0,00","0,00","0,00","218.784,00","0,00","-4.029.544,00"
2025,10,"2.000.000,00","529.700,00","2.529.700,00","2.000.000,00","321.695,00","164.538,00","944.402,00","537.578,00","665.333,00","109.412,00","178.584,00","100.952,00","730.849,00","5.753.343,00","0,00","0,00","0,00","0,00","0,00","252.970,00","0,00","-3.476.613,00"
2025,11,"2.000.000,00","478.704,00","2.478.704,00","2.000.000,00","772.686,00","786.296,00","340.912,00","339.039,00","977.685,00","675.207,00","808.242,00","994.656,00","840.834,00","8.535.557,00","0,00","0,00","0,00","0,00","0,00","247.870,40","0,00","-6.304.723,40"
2025,12,"2.000.000,00","347.323,00","2.347.323,00","2.000.000,00","760.924,00","279.114,00","365.559,00","610.992,00","345.500,00","925.218,00","730.177,00","787.666,00","701.291,00","7.506.441,00","0,00","0,00","0,00","0,00","0,00","234.732,30","0,00","-5.393.850,30"